branch,title,abbreviation,level_code,rank_type,rank_group,specialization,description,image_filename
Heer,Schütze,,,Mannschaften,Mannschaften,,,Schuetze.png
Heer,"Schütze (Unteroffizieranwärter)",,,Mannschaften,Mannschaften,,,Schuetze-Unteroffizieranwaerter
Heer,"Schütze (Feldwebelanwärter)",,,Mannschaften,Mannschaften,,,Schuetze-Feldwebelanwaerter
Heer,"Schütze (Offizieranwärter)",,,Mannschaften,Mannschaften,,,Schuetze-Offizieranwaerter
Heer,Gefreiter,,,Mannschaften,Mannschaften,,,Heer-Gereiter.png
Heer,"Gefreiter (Unteroffizieranwärter)",,,Mannschaften,Mannschaften,,,Heer-Gefreiter-Unteroffizieranwaerter.png
Heer,"Gefreiter (Feldwebelanwärter)",,,Mannschaften,Mannschaften,,,Heer-Gefreiter-Feldwebelanwaerter.png
Heer,"Gefreiter (Offizieranwärter)",,,Mannschaften,Mannschaften,,,Heer-Gefreiter-Offizieranwaerter.png
Heer,Obergefreiter,,,Mannschaften,Mannschaften,,,Heer-Obergefreiter.png
Heer,Hauptgefreiter,,,Mannschaften,Mannschaften,,,Heer-Hauptgefreiter.png
Heer,Stabsgefreiter,,,Mannschaften,Mannschaften,,,Heer-Stabsgefreiter.png
Heer,Oberstabsgefreiter,,,Mannschaften,Mannschaften,,,Heer-Oberstabsgefreiter.png
Heer,Korporal,,,Mannschaften,Mannschaften,,,Heer-Korporal.png
Heer,Stabskorporal,,,Mannschaften,Mannschaften,,,Heer-Stabskorporal.png
Heer,Unteroffizier,,,Unteroffiziere,"Unteroffiziere ohne Portepee",,,Heer-Unteroffizier.png
Heer,"Unteroffizier (Feldwebelanwärter)",,,Unteroffiziere,"Unteroffiziere ohne Portepee",,,Heer-Unteroffizier-Feldwebelanwaerter.png
Heer,"Fahnenjunker (Offizieranwärter)",,,Unteroffiziere,"Unteroffiziere ohne Portepee",,,Heer-Fahnenjunker-Offizieranwaerter.png
Heer,Stabsunteroffizier,,,Unteroffiziere,"Unteroffiziere ohne Portepee",,,Heer-Stabsunteroffizier.png
Heer,"Stabsunteroffizier (Feldwebelanwärter)",,,Unteroffiziere,"Unteroffiziere ohne Portepee",,,Heer-Stabsunteroffizier-Feldwebelanwaerter.png
Heer,Feldwebel,,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Feldwebel.png
Heer,"Fähnrich (Offizieranwärter)",,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Faehnrich-Offizieranaerter.png
Heer,Oberfeldwebel,,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Oberfeldwebel.png
Heer,Hauptfeldwebel,,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Hauptfeldwebel.png
Heer,"Oberfähnrich (Offizieranwärter)",,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Oberfaehnrich-Offizieranwaerter.png
Heer,Stabsfeldwebel,,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Stabsfeldwebel.png
Heer,Oberstabsfeldwebel,,,Unteroffiziere,"Unteroffiziere mit Portepee",,,Heer-Oberstabsfeldwebel.png
Heer,Leutnant,,,Offiziere,"Leutnante und Hauptleute",,,Heer-Leutnant.png
Heer,Oberleutnant,,,Offiziere,"Leutnante und Hauptleute",,,Heer-Oberleutnant.png
Heer,Hauptmann,,,Offiziere,"Leutnante und Hauptleute",,,Heer-Hauptmann.png
Heer,Stabsarzt/Stabsapotheker/Stabsveterinär,,,Offiziere,"Leutnante und Hauptleute",Sanitäter,,Heer-Stabsarzt_Stabsapotheker_Stabsveterinaer.png
Heer,Stabshauptmann,,,Offiziere,"Leutnante und Hauptleute",,,Heer-Stabshauptmann.png
Heer,Major,,,Offiziere,Stabsoffiziere,,,Heer-Major.png
Heer,Oberstabsarzt/Oberstabsapotheker/Oberstabsveterinär,,,Offiziere,Stabsoffiziere,Sanitäter,,Heer-Oberstabsarzt_Oberstabsapotheker_Oberstabsveterinaer.png
Heer,Oberleutnant,,,Offiziere,Stabsoffiziere,,,Heer-Oberleutnant.png
Heer,Oberfeldarzt/Oberfeldapotheker/Oberfeldveterinär,,,Offiziere,Stabsoffiziere,Sanitäter,,Oberfeldarzt_Oberfeldapotheker_Oberfeldveterinaer.png
Heer,Oberst,,,Offiziere,Stabsoffiziere,,,Heer-Oberst.png
Heer,Oberstabsarzt/Oberstabsapotheker/Oberstabsveterinär,,,Offiziere,Stabsoffiziere,Sanitäter,,Heer-Oberstabsarzt_Oberstabsapotheker_Oberstabsveterinaer.png
Heer,Brigadegeneral,,,Offiziere,Generale,,,Heer-Brigadegeneral.png
Heer,Generalarzt/Generalapotheker,,,Offiziere,Generale,Sanitäter,,Heer-Generalarzt_Generalapotheker.png
Heer,Generalmajor,,,Offiziere,Generale,,,Heer-Generealmajor.png
Heer,Generalstabsarzt,,,Offiziere,Generale,Sanitäter,,Heer-Generalstabsarzt.png
Heer,Generalleutnant,,,Offiziere,Generale,,,Heer-Generalleutnant.png
Heer,Generaloberstabsarzt,,,Offiziere,Generale,Sanitäter,,Heer-Generaloberstabsarzt.png
Heer,General,,,Offiziere,Generale,,,Heer-General.png
